Symbol,Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote
ALIM,ALIM,"Alimera Sciences, Inc.",1.4,90808065.6,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/alim
ALJJ,ALJJ,"ALJ Regional Holdings, Inc.",3.42,118245272.2,n/a,n/a,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/aljj
ALKS,ALKS,Alkermes plc,56.57,8660802736,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/alks
ABTX,ABTX,"Allegiance Bancshares, Inc.",37.35,490616527.5,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/abtx
ALGT,ALGT,Allegiant Travel Company,162.15,2697328442,n/a,n/a,Transportation,Air Freight/Delivery Services,http://www.nasdaq.com/symbol/algt
AIQ,AIQ,"Alliance HealthCare Services, Inc.",13.1,141986367.4,n/a,n/a,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/aiq
AHGP,AHGP,"Alliance Holdings GP, L.P.",27.56,1649824280,n/a,n/a,Energy,Coal Mining,http://www.nasdaq.com/symbol/ahgp
AMMA,AMMA,"Alliance MMA, Inc.",1.69,15893540.78,n/a,n/a,Consumer Services,Services-Misc. Amusement & Recreation,http://www.nasdaq.com/symbol/amma
ARLP,ARLP,"Alliance Resource Partners, L.P.",21.7,1618755681,n/a,n/a,Energy,Coal Mining,http://www.nasdaq.com/symbol/arlp
AHPI,AHPI,"Allied Healthcare Products, Inc.",1.9,7625720.3,n/a,n/a,Health Care,Industrial Specialties,http://www.nasdaq.com/symbol/ahpi
AMOT,AMOT,"Allied Motion Technologies, Inc.",22.33,209329235.5,n/a,n/a,Capital Goods,Electrical Products,http://www.nasdaq.com/symbol/amot
ALQA,ALQA,"Alliqua BioMedical, Inc.",0.406,18511681.65,n/a,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/alqa
ALLT,ALLT,Allot Communications Ltd.,4.9,162260462,n/a,n/a,Technology,Computer Communications Equipment,http://www.nasdaq.com/symbol/allt
MDRX,MDRX,"Allscripts Healthcare Solutions, Inc.",11.82,2144910307,n/a,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/mdrx
AFAM,AFAM,Almost Family Inc,47.4,657926172.6,n/a,n/a,Health Care,Medical/Nursing Services,http://www.nasdaq.com/symbol/afam
ALNY,ALNY,"Alnylam Pharmaceuticals, Inc.",49.51,4260462147,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/alny
AOSL,AOSL,Alpha and Omega Semiconductor Limited,16.27,384065796.6,n/a,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/aosl
GOOG,GOOG,Alphabet Inc.,843.19,5.82999E+11,n/a,n/a,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/goog
GOOGL,GOOGL,Alphabet Inc.,858.95,5.93895E+11,n/a,n/a,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/googl
SMCP,SMCP,AlphaMark Actively Managed Small Cap ETF,24.4,26839390,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/smcp
ATEC,ATEC,"Alphatec Holdings, Inc.",2,21659250,n/a,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/atec
SWIN,SWIN,ALPS/Dorsey Wright Sector Momentum ETF,25.939,5187851.878,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/swin
ASPS,ASPS,Altisource Portfolio Solutions S.A.,24.05,443168604.5,n/a,n/a,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/asps
